Packet number,Year,Month,Day,Hours,Minutes,Seconds
88,2000,1,1,0,28,49
283,2000,1,1,0,28,50
478,2000,1,1,0,28,50
673,2000,1,1,0,28,51
868,2000,1,1,0,28,51
1063,2000,1,1,0,28,52
1258,2000,1,1,0,28,52
1453,2000,1,1,0,28,53
1648,2000,1,1,0,28,53
1843,2000,1,1,0,28,54
2038,2000,1,1,0,28,54
2233,2000,1,1,0,28,55
2428,2000,1,1,0,28,55
2623,2000,1,1,0,28,56
2818,2000,1,1,0,28,56
3013,2000,1,1,0,28,57
3208,2000,1,1,0,28,57
3403,2000,1,1,0,28,58
3598,2000,1,1,0,28,58
3793,2000,1,1,0,28,59
3988,2000,1,1,0,28,59
4183,2000,1,1,0,29,0
4378,2000,1,1,0,29,0
4573,2000,1,1,0,29,1
4768,2000,1,1,0,29,1
4963,2000,1,1,0,29,2
5158,2000,1,1,0,29,2
5353,2000,1,1,0,29,3
5548,2000,1,1,0,29,3
5743,2000,1,1,0,29,4
5938,2000,1,1,0,29,4
6133,2000,1,1,0,29,5
6328,2000,1,1,0,29,5
6523,2000,1,1,0,29,6
6718,2000,1,1,0,29,6
6913,2000,1,1,0,29,7
7108,2000,1,1,0,29,7
7303,2000,1,1,0,29,8
7498,2000,1,1,0,29,8
7693,2000,1,1,0,29,9
7888,2000,1,1,0,29,9
8083,2000,1,1,0,29,10
8278,2000,1,1,0,29,10
8473,2000,1,1,0,29,11
8668,2000,1,1,0,29,11
8863,2000,1,1,0,29,12
9058,2000,1,1,0,29,12
9253,2000,1,1,0,29,13
9448,2000,1,1,0,29,13
9643,2000,1,1,0,29,14
9838,2000,1,1,0,29,14
10033,2000,1,1,0,29,15
10228,2000,1,1,0,29,15
10423,2000,1,1,0,29,16
10618,2000,1,1,0,29,16
10813,2000,1,1,0,29,17
11008,2000,1,1,0,29,17
11203,2000,1,1,0,29,18
11398,2000,1,1,0,29,18
11593,2000,1,1,0,29,19
11788,2000,1,1,0,29,19
11983,2000,1,1,0,29,20
12178,2000,1,1,0,29,20
12373,2000,1,1,0,29,21
12568,2000,1,1,0,29,21
12763,2000,1,1,0,29,22
12958,2000,1,1,0,29,22
13153,2000,1,1,0,29,23
13348,2000,1,1,0,29,23
13543,2000,1,1,0,29,24
13738,2000,1,1,0,29,24
13933,2000,1,1,0,29,25
14128,2000,1,1,0,29,25
14323,2000,1,1,0,29,26
14518,2000,1,1,0,29,26
14713,2000,1,1,0,29,27
14908,2000,1,1,0,29,27
15103,2000,1,1,0,29,28
15298,2000,1,1,0,29,28
15493,2000,1,1,0,29,29
15688,2000,1,1,0,29,29
15883,2000,1,1,0,29,30
16078,2000,1,1,0,29,30
16273,2000,1,1,0,29,31
16468,2000,1,1,0,29,31
16663,2000,1,1,0,29,32
16858,2000,1,1,0,29,32
17053,2000,1,1,0,29,33
17248,2000,1,1,0,29,33
17443,2000,1,1,0,29,34
17638,2000,1,1,0,29,34
17833,2000,1,1,0,29,35
18028,2000,1,1,0,29,35
18223,2000,1,1,0,29,36
18418,2000,1,1,0,29,36
18613,2000,1,1,0,29,37
18808,2000,1,1,0,29,37
19003,2000,1,1,0,29,38
19198,2000,1,1,0,29,38
19393,2000,1,1,0,29,39
19588,2000,1,1,0,29,39
19783,2000,1,1,0,29,40
19978,2000,1,1,0,29,40
20173,2000,1,1,0,29,41
20368,2000,1,1,0,29,41
20563,2000,1,1,0,29,42
20758,2000,1,1,0,29,42
20953,2000,1,1,0,29,43
21148,2000,1,1,0,29,43
21343,2000,1,1,0,29,44
21538,2000,1,1,0,29,44
21733,2000,1,1,0,29,45
21928,2000,1,1,0,29,45
22123,2000,1,1,0,29,46
22318,2000,1,1,0,29,46
22513,2000,1,1,0,29,47
22708,2000,1,1,0,29,47
22903,2000,1,1,0,29,48
23098,2000,1,1,0,29,48
23293,2000,1,1,0,29,49
23488,2000,1,1,0,29,49
23683,2000,1,1,0,29,50
23878,2000,1,1,0,29,50
24073,2000,1,1,0,29,51
24268,2000,1,1,0,29,51
24463,2000,1,1,0,29,52
24658,2000,1,1,0,29,52
24853,2000,1,1,0,29,53
25048,2000,1,1,0,29,53
25243,2000,1,1,0,29,54
25438,2000,1,1,0,29,54
25633,2000,1,1,0,29,55
25828,2000,1,1,0,29,55
26023,2000,1,1,0,29,56
26218,2000,1,1,0,29,56
26413,2000,1,1,0,29,57
26608,2000,1,1,0,29,57
26803,2000,1,1,0,29,58
26998,2000,1,1,0,29,58
27193,2000,1,1,0,29,59
27388,2000,1,1,0,29,59
27583,2000,1,1,0,30,0
27778,2000,1,1,0,30,0
27973,2000,1,1,0,30,1
28168,2000,1,1,0,30,1
28363,2000,1,1,0,30,2
28558,2000,1,1,0,30,2
28753,2000,1,1,0,30,3
28948,2000,1,1,0,30,3
29143,2000,1,1,0,30,4
29338,2000,1,1,0,30,4
29533,2000,1,1,0,30,5
29728,2000,1,1,0,30,5
29923,2000,1,1,0,30,6
30118,2000,1,1,0,30,6
30313,2000,1,1,0,30,7
30508,2000,1,1,0,30,7
30703,2000,1,1,0,30,8
30898,2000,1,1,0,30,8
31093,2000,1,1,0,30,9
31288,2000,1,1,0,30,9
31483,2000,1,1,0,30,10
31678,2000,1,1,0,30,10
31873,2000,1,1,0,30,11
32068,2000,1,1,0,30,11
32263,2000,1,1,0,30,12
32458,2000,1,1,0,30,12
32653,2000,1,1,0,30,13
32848,2000,1,1,0,30,13
33043,2000,1,1,0,30,14
33238,2000,1,1,0,30,14
33433,2000,1,1,0,30,15
33628,2000,1,1,0,30,15
33823,2000,1,1,0,30,16
34018,2000,1,1,0,30,16
34213,2000,1,1,0,30,17
34408,2000,1,1,0,30,17
34603,2000,1,1,0,30,18
34798,2000,1,1,0,30,18
34993,2000,1,1,0,30,19
35188,2000,1,1,0,30,19
35383,2000,1,1,0,30,20
35578,2000,1,1,0,30,20
35773,2000,1,1,0,30,21
35968,2000,1,1,0,30,21
36163,2000,1,1,0,30,22
36358,2000,1,1,0,30,22
36553,2000,1,1,0,30,23
36748,2000,1,1,0,30,23
36943,2000,1,1,0,30,24
37138,2000,1,1,0,30,24
37333,2000,1,1,0,30,25
37528,2000,1,1,0,30,25
37723,2000,1,1,0,30,26
37918,2000,1,1,0,30,26
38113,2000,1,1,0,30,27
38308,2000,1,1,0,30,27
38503,2000,1,1,0,30,28
38698,2000,1,1,0,30,28
38893,2000,1,1,0,30,29
39088,2000,1,1,0,30,29
39283,2000,1,1,0,30,30
39478,2000,1,1,0,30,30
39673,2000,1,1,0,30,31
39868,2000,1,1,0,30,31
40063,2000,1,1,0,30,32
40258,2000,1,1,0,30,32
40453,2000,1,1,0,30,33
40648,2000,1,1,0,30,33
40843,2000,1,1,0,30,34
41038,2000,1,1,0,30,34
41233,2000,1,1,0,30,35
41428,2000,1,1,0,30,35
41623,2000,1,1,0,30,36
41818,2000,1,1,0,30,36
42013,2000,1,1,0,30,37
42208,2000,1,1,0,30,37
42403,2000,1,1,0,30,38
42598,2000,1,1,0,30,38
42793,2000,1,1,0,30,39
42988,2000,1,1,0,30,39
43183,2000,1,1,0,30,40
43378,2000,1,1,0,30,40
43573,2000,1,1,0,30,41
43768,2000,1,1,0,30,41
44019,2000,1,1,0,30,49
44214,2000,1,1,0,30,50
44409,2000,1,1,0,30,50
44604,2000,1,1,0,30,51
44799,2000,1,1,0,30,51
44994,2000,1,1,0,30,52
45189,2000,1,1,0,30,52
45384,2000,1,1,0,30,53
45579,2000,1,1,0,30,53
45774,2000,1,1,0,30,54
45969,2000,1,1,0,30,54
46164,2000,1,1,0,30,55
